user_id,channel,signup_date,last_active_date,purchase_amount,purchase_count,is_active,age_group,region
1,微信,2024-01-15,2024-03-20,1250.50,5,1,25-34,华东
2,百度,2024-01-20,2024-02-15,300.00,2,0,18-24,华北
3,抖音,2024-02-01,2024-03-25,5600.75,12,1,25-34,华南
4,微信,2024-02-05,2024-03-10,890.00,3,1,35-44,华东
5,小红书,2024-02-10,2024-02-20,150.25,1,0,18-24,西南
6,百度,2024-02-15,2024-03-22,3200.00,8,1,25-34,华北
7,抖音,2024-02-20,2024-03-01,450.00,2,0,35-44,华南
8,微信,2024-02-25,2024-03-28,7800.00,15,1,25-34,华东
9,小红书,2024-03-01,2024-03-15,2200.50,6,1,18-24,西南
10,百度,2024-03-05,2024-03-20,1800.00,4,1,35-44,华北
11,抖音,2024-03-10,2024-03-25,9500.25,20,1,25-34,华南
12,微信,2024-03-15,2024-03-22,3500.00,7,1,18-24,华东
13,小红书,2024-03-18,2024-03-20,800.00,2,0,25-34,西南
14,百度,2024-03-20,2024-03-25,4200.75,9,1,35-44,华北
15,抖音,2024-03-22,2024-03-28,6100.00,11,1,25-34,华南
16,微信,2024-03-25,2024-03-28,2800.50,5,1,18-24,华东
17,小红书,2024-03-26,2024-03-27,500.00,1,0,35-44,西南
18,百度,2024-03-27,2024-03-28,15000.00,25,1,25-34,华北
19,抖音,2024-03-28,2024-03-28,850.25,3,1,18-24,华南
20,微信,2024-03-28,2024-03-28,4200.00,8,1,25-34,华东
